"ssh.id","ssh.label","tapor.id","wd.item","wd.item.tadirah","tadirah.uri"
"180","vBrxsU","AntWordProfiler","1470",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"181","vBrxsU","AntWordProfiler","1470",NA,"Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"182","vBrxsU","AntWordProfiler","1470",NA,"Q11873636","https://vocabs.dariah.eu/tadirah/stylisticAnalysis"
"183","1Q5luu","Anvil","1030",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"184","rbo6MV","Apache Open NLP","120","Q7095836","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"185","rbo6MV","Apache Open NLP","120","Q7095836","Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"186","r43yWg","Apache OpenNLP",NA,NA,NA,NA
"187","7PyEBu","Apache Stanbol",NA,NA,NA,NA
"188","KjxjFp","Apache Subversion Version System (SVN)","1249","Q46794","Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"189","KjxjFp","Apache Subversion Version System (SVN)","1249","Q46794","Q632897","https://vocabs.dariah.eu/tadirah/preserving"
"190","KjxjFp","Apache Subversion Version System (SVN)","1249","Q46794","Q189439","https://vocabs.dariah.eu/tadirah/versioning"
"191","Qbt4XV","Apache UIMA","121","Q1539155","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"192","Qbt4XV","Apache UIMA","121","Q1539155","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"193","Qbt4XV","Apache UIMA","121","Q1539155","Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"194","1YxQpO","Apache Xalan","181","Q773240","Q65757353","https://vocabs.dariah.eu/tadirah/transformation"
"195","CqCK1n","API for Generations and Gender Programme (GGP) ",NA,NA,NA,NA
"196","XzfHJV","Apple Pie Parser","384",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"197","XzfHJV","Apple Pie Parser","384",NA,"Q194152","https://vocabs.dariah.eu/tadirah/parsing"
"198","DQh5ts","ArcGIS","1254","Q513297","Q1938983","https://vocabs.dariah.eu/tadirah/spatialAnalysis"
"199","DQh5ts","ArcGIS","1254","Q513297","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"200","DQh5ts","ArcGIS","1254","Q513297","Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"201","DQh5ts","ArcGIS","1254","Q513297","Q3972943","https://vocabs.dariah.eu/tadirah/publishing"
"202","ouZ1GH","ARCHE A Resource Centre for the HumanitiEs",NA,NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"203","17nWui","Archeosurveyor (TerraSurveyor)","1222",NA,NA,NA
"204","AOHiq8","Archive in a Box",NA,NA,"Q10418049","https://vocabs.dariah.eu/tadirah/archiving"
"205","NjZQ37","Archive-It","1042","Q44623728","Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"206","NjZQ37","Archive-It","1042","Q44623728","Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"207","NjZQ37","Archive-It","1042","Q44623728","Q3972943","https://vocabs.dariah.eu/tadirah/publishing"
"208","NjZQ37","Archive-It","1042","Q44623728","Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"209","NjZQ37","Archive-It","1042","Q44623728","Q10418049","https://vocabs.dariah.eu/tadirah/archiving"
"210","NjZQ37","Archive-It","1042","Q44623728","Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"211","NjZQ37","Archive-It","1042","Q44623728","Q632897","https://vocabs.dariah.eu/tadirah/preserving"
"212","NjZQ37","Archive-It","1042","Q44623728","Q459221","https://vocabs.dariah.eu/tadirah/sharing"
"213","NjZQ37","Archive-It","1042","Q44623728","Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"214","sYLKsH","Archivematica",NA,NA,"Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"215","sYLKsH","Archivematica",NA,NA,"Q10418049","https://vocabs.dariah.eu/tadirah/archiving"
"216","sYLKsH","Archivematica",NA,NA,"Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"217","VK0sej","ARCO: An Architecture for Digitization, Management and Presentation of Virtual Exhibitions",NA,NA,NA,NA
"218","VjLUsM","ARIADNE Portal",NA,NA,"Q10418049","https://vocabs.dariah.eu/tadirah/archiving"
"219","VjLUsM","ARIADNE Portal",NA,NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"220","VjLUsM","ARIADNE Portal",NA,NA,"Q11540953","https://vocabs.dariah.eu/tadirah/searching"
"221","wI0G4x","ARRAS","289",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"222","wI0G4x","ARRAS","289",NA,"Q839018","https://vocabs.dariah.eu/tadirah/concordance"
"223","TyenhY","ARTFL Encyclopédie Project","1455",NA,NA,NA
"224","S9m9UW","Artifex Press","875",NA,"Q3972943","https://vocabs.dariah.eu/tadirah/publishing"
"225","S9m9UW","Artifex Press","875",NA,"Q123751128","https://vocabs.dariah.eu/tadirah/gathering"
"226","S9m9UW","Artifex Press","875",NA,"Q857525","https://vocabs.dariah.eu/tadirah/annotating"
"227","S9m9UW","Artifex Press","875",NA,"Q10418049","https://vocabs.dariah.eu/tadirah/archiving"
"228","S9m9UW","Artifex Press","875",NA,"Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"229","mRIDl4","Artlas - BasArt. Global Database of Exhibition Catalogues",NA,NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"230","7Tcmc2","Artlas / Biographical Dictionary of the Residents of the French Academy in Rome",NA,NA,"Q1938983","https://vocabs.dariah.eu/tadirah/spatialAnalysis"
"231","k8fd6T","Artlas / Geomap",NA,NA,"Q1938983","https://vocabs.dariah.eu/tadirah/spatialAnalysis"
"232","s4aKf4","Aruspix","1352",NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"233","s4aKf4","Aruspix","1352",NA,"Q65770408","https://vocabs.dariah.eu/tadirah/collating"
"234","TmiBJ7","AskSam","1129","Q39087405","Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"235","EdUOYX","Asset Bank","1227",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"236","EdUOYX","Asset Bank","1227",NA,"Q10418049","https://vocabs.dariah.eu/tadirah/archiving"
"237","EdUOYX","Asset Bank","1227",NA,"Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"238","EdUOYX","Asset Bank","1227",NA,"Q3972943","https://vocabs.dariah.eu/tadirah/publishing"
"239","EdUOYX","Asset Bank","1227",NA,"Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"240","Ip5RLN","ASV Online Toolbox","1553",NA,"Q1116876","https://vocabs.dariah.eu/tadirah/modeling"
"241","Ip5RLN","ASV Online Toolbox","1553",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"242","Ip5RLN","ASV Online Toolbox","1553",NA,"Q12772819","https://vocabs.dariah.eu/tadirah/discovering"
"243","Ip5RLN","ASV Online Toolbox","1553",NA,"Q653137","https://vocabs.dariah.eu/tadirah/contentAnalysis"
"244","Ip5RLN","ASV Online Toolbox","1553",NA,"Q15756478","https://vocabs.dariah.eu/tadirah/interpreting"
"245","Ip5RLN","ASV Online Toolbox","1553",NA,"Q123751127","https://vocabs.dariah.eu/tadirah/structuralAnalysis"
"246","Gd6xsp","ATLAS.ti","184","Q3628244","Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"247","Gd6xsp","ATLAS.ti","184","Q3628244","Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"248","Gd6xsp","ATLAS.ti","184","Q3628244","Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
