"wd.item","tapor.id","ssh.id","wd.tadirahid","tadirah.id"
"Q678036","1395","pREcqE","Q194105","editing"
"Q678036","1395","pREcqE","Q857525","annotating"
"Q678036","1395","pREcqE","Q110484020","writing"
"Q678036","1395","pREcqE","Q123783459","designing"
"Q7438779","1039","FOLc0N","Q123819225","capturing"
"Q7438779","1039","FOLc0N","Q6504956","dataVisualization"
"Q7438779","1039","FOLc0N","Q217602","analyzing"
"Q7438779","1039","FOLc0N","Q95832426","visualAnalysis"
"Q7438779","1039","FOLc0N","Q653137","contentAnalysis"
"Q7438779","1039","FOLc0N","Q123751128","gathering"
"Q30633354","796","hQSjV0","Q6504956","dataVisualization"
"Q30633354","796","hQSjV0","Q12772819","discovering"
"Q30633354","796","hQSjV0","Q95832426","visualAnalysis"
"Q30633354","796","hQSjV0","Q36993249","organizing"
"Q30633354","796","hQSjV0","Q123819226","disseminating"
"Q206904","238","vehc3B","Q80006","programming"
"Q206904","238","vehc3B","Q123819227","creating"
"Q206904","238","vehc3B","Q6504956","dataVisualization"
"Q206904","238","vehc3B","Q217602","analyzing"
"Q206904","238","vehc3B","Q95832426","visualAnalysis"
"Q206904","238","vehc3B","Q123750937","enriching"
"Q206904","238","vehc3B","Q1172378","dataCleansing"
"Q965395","131","lCuefs","Q6504956","dataVisualization"
"Q965395","131","lCuefs","Q217602","analyzing"
"Q965395","131","lCuefs","Q95832426","visualAnalysis"
"Q1372992","1556","T4PATb","Q123819227","creating"
"Q1372992","1556","T4PATb","Q194105","editing"
"Q1372992","1556","T4PATb","Q123783459","designing"
"Q74692524","710","gRWJuZ","Q123819225","capturing"
"Q74692524","710","gRWJuZ","Q1938983","spatialAnalysis"
"Q74692524","710","gRWJuZ","Q217602","analyzing"
"Q74692524","710","gRWJuZ","Q123750937","enriching"
"Q74692524","710","gRWJuZ","Q1145523","collaborating"
"Q74692524","710","gRWJuZ","Q857525","annotating"
"Q74692524","710","gRWJuZ","Q123819226","disseminating"
"Q74692524","710","gRWJuZ","Q36993249","organizing"
"Q74692524","710","gRWJuZ","Q459221","sharing"
"Q74692524","710","gRWJuZ","Q123819222","storing"
"Q74692524","710","gRWJuZ","Q207714","transcribing"
"Q23293447","1073","XZIIVA","Q12772819","discovering"
"Q23293447","1073","XZIIVA","Q6504956","dataVisualization"
"Q7307076","1180","QsW4z8","Q36993249","organizing"
"Q17078111","701","HhRfYW","Q36993249","organizing"
"Q7277610","439","yvAIRA","Q217602","analyzing"
"Q7277610","439","yvAIRA","Q653137","contentAnalysis"
"Q4798119","1346","ELLVec","Q123819227","creating"
